"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility"
"2020-03-02","SXO   200320P1100.00","SXO","SXO","TX60",1100,"2020-03-20",1,0,0,0,0,0,111.03,0,127.85,0,0,0,0,0,0,111.03,0,0
"2020-03-02","SXO   200417P970.00","SXO","SXO","TX60",970,"2020-04-17",1,0,0,0,0,0,7.6,0,14.5,0,0,0,0,0,0,7.6,0,1.535
"2020-03-02","SXO   200417P980.00","SXO","SXO","TX60",980,"2020-04-17",1,0,0,0,0,0,11.2,0,19.9,0,0,0,0,0,0,11.2,0,0.819
"2020-03-02","SXO   200417P990.00","SXO","SXO","TX60",990,"2020-04-17",1,0,0,0,0,0,15.9,0,26.2,0,0,0,0,0,0,15.9,0,0.077
"2020-03-02","SXO   200417P1000.00","SXO","SXO","TX60",1000,"2020-04-17",1,0,0,0,0,0,21.6,0,33.4,0,0,0,0,0,0,21.6,0,0
"2020-03-02","SXO   200417P1010.00","SXO","SXO","TX60",1010,"2020-04-17",1,0,0,0,0,0,28.2,0,41.4,0,0,0,0,0,0,28.2,0,0
"2020-03-02","SXO   200417P1020.00","SXO","SXO","TX60",1020,"2020-04-17",1,0,0,0,0,0,35.7,0,50,0,0,0,0,0,0,35.7,0,0
"2020-03-02","SXO   200417P1030.00","SXO","SXO","TX60",1030,"2020-04-17",1,0,0,0,0,0,44,0,59.1,0,0,0,0,0,0,44,0,0
"2020-03-02","SXO   200417P1040.00","SXO","SXO","TX60",1040,"2020-04-17",1,0,0,0,0,0,52.8,0,68.5,0,0,0,0,0,0,52.8,0,0
"2020-03-02","SXO   200417P1050.00","SXO","SXO","TX60",1050,"2020-04-17",1,0,0,0,0,0,62,0,78.1,0,0,0,0,0,0,62,0,0
"2020-03-02","SXO   200417P1060.00","SXO","SXO","TX60",1060,"2020-04-17",1,0,0,0,0,0,71.5,0,87.9,0,0,0,0,0,0,71.5,0,0
"2020-03-02","SXO   200417P1070.00","SXO","SXO","TX60",1070,"2020-04-17",1,0,0,0,0,0,81.2,0,97.85,0,0,0,0,0,0,81.2,175,0
"2020-03-02","SXO   200417P1080.00","SXO","SXO","TX60",1080,"2020-04-17",1,0,0,0,0,0,91.03,0,107.85,0,0,0,0,0,0,91.03,0,0
"2020-03-02","SXO   200417P1090.00","SXO","SXO","TX60",1090,"2020-04-17",1,0,0,0,0,0,101.03,0,117.85,0,0,0,0,0,0,101.03,0,0
"2020-03-02","SXO   200417P1100.00","SXO","SXO","TX60",1100,"2020-04-17",1,0,0,0,0,0,111.03,0,127.85,0,0,0,0,0,0,111.03,0,0
"2020-03-02","SXO   200417P1110.00","SXO","SXO","TX60",1110,"2020-04-17",1,0,0,0,0,0,111.03,0,127.85,0,0,0,0,0,0,111.03,0,0
"2020-03-02","SXO   200515P970.00","SXO","SXO","TX60",970,"2020-05-15",1,0,0,0,0,0,11.3,0,18.4,0,0,0,0,0,0,11.3,0,1.277
"2020-03-02","SXO   200515P980.00","SXO","SXO","TX60",980,"2020-05-15",1,0,0,0,0,0,15.2,0,23.8,0,0,0,0,0,0,15.2,0,0.71
"2020-03-02","SXO   200515P990.00","SXO","SXO","TX60",990,"2020-05-15",1,0,0,0,0,0,20,0,29.9,0,0,0,0,0,0,20,0,0.133
"2020-03-02","SXO   200515P1000.00","SXO","SXO","TX60",1000,"2020-05-15",1,0,0,0,0,0,25.6,0,36.7,0,0,0,0,0,0,25.6,0,0
"2020-03-02","SXO   200515P1010.00","SXO","SXO","TX60",1010,"2020-05-15",1,0,0,0,0,0,31.9,0,44.2,0,0,0,0,0,0,31.9,0,0
"2020-03-02","SXO   200515P1020.00","SXO","SXO","TX60",1020,"2020-05-15",1,0,0,0,0,0,39,0,52.3,0,0,0,0,0,0,39,0,0
